Home_Location,Qualification,Job_Domain,Employment_Type,Company_Size,Joining_Period,Experience_Years,Salary
Dalli-Rajhara,BBA,Customer Support,Full Time,Large,15 Days,0,47000
Bemetra,BA,Sales Executive,Full Time,Small,2 Months,7,50000
Dalli-Rajhara,BCA,MIS Executive,Full Time,Medium,45 Days,8,104000
Durg,MBA,HR Executive,Contract,Small,30 Days,1,65000
Jagdalpur,M.Com,Sales Executive,Intern,Medium,15 Days,2,32000
Mahasamund,Diploma,Computer Operator,Full Time,Medium,15 Days,9,34000
Chirmiri,Diploma,Computer Operator,Intern,Medium,15 Days,2,9000
Naila Janjgir,B.Com,Business Analyst,Part Time,Medium,2 Months,6,50000
Bhilai,Diploma,Customer Support,Intern,Medium,15 Days,0,8000
Raipur,MA,HR Executive,Contract,Large,2 Months,6,105000
Bilaspur,MBA,MIS Executive,Full Time,Small,30 Days,7,150000
Mungeli,MA,Digital Marketing Executive,Full Time,Large,2 Months,11,150000
Manendragarh,MBA,Account Manager,Full Time,Large,2 Months,7,150000
Mahasamund,MBA,MIS Executive,Full Time,Small,30 Days,10,150000
Naila Janjgir,BA,Account Manager,Part Time,Medium,30 Days,3,33000
Bhatapara,12th Pass,Sales Executive,Full Time,Medium,45 Days,8,44000
Raigarh,MA,HR Executive,Full Time,Large,3 Months,9,117000
Bemetra,BBA,Sales Executive,Full Time,Large,2 Months,9,110000
Dhamtari,BBA,HR Executive,Full Time,Large,2 Months,5,72000
Bhilai,Diploma,Content Writer,Full Time,Medium,30 Days,12,55000
Bhilai,MBA,Digital Marketing Executive,Full Time,Medium,2 Months,11,150000
Korba,MBA,HR Executive,Full Time,Medium,2 Months,10,150000
Sakti,MA,Account Manager,Full Time,Small,15 Days,9,122000
Bemetra,B.Com,Business Analyst,Part Time,Large,30 Days,6,74000
Bemetra,MBA,MIS Executive,Contract,Large,45 Days,11,150000
Raigarh,B.Com,HR Executive,Full Time,Small,2 Months,11,73000
Mungeli,Diploma,Customer Support,Full Time,Large,30 Days,15,58000
Dhamtari,MBA,HR Executive,Part Time,Medium,45 Days,7,74000
Ambikapur,10th Pass,Customer Support,Contract,Small,30 Days,1,12000
Bemetra,10th Pass,Computer Operator,Full Time,Large,2 Months,3,16000
Bilaspur,BBA,HR Executive,Full Time,Medium,3 Months,4,63000
Bemetra,M.Com,Account Manager,Part Time,Medium,3 Months,5,86000
Raigarh,MA,Account Manager,Full Time,Medium,3 Months,10,150000
Ambikapur,M.Com,Digital Marketing Executive,Full Time,Large,Immediately,1,98000
Korba,MBA,Business Analyst,Full Time,Medium,2 Months,11,150000
Mahasamund,BCA,Account Manager,Full Time,Large,30 Days,5,106000
Chirmiri,BA,Account Manager,Contract,Small,2 Months,6,48000
Bhilai,MA,Business Analyst,Full Time,Large,30 Days,9,150000
Bhatapara,BBA,MIS Executive,Full Time,Small,45 Days,15,113000
Bilaspur,B.Com,Business Analyst,Contract,Medium,30 Days,7,88000
Raipur,Diploma,Accountant,Full Time,Large,2 Months,14,96000
Dalli-Rajhara,BA,Sales Executive,Part Time,Large,15 Days,8,42000
Rajnandgaon,B.Com,Sales Executive,Full Time,Medium,15 Days,1,41000
Mahasamund,BA,Business Analyst,Full Time,Small,15 Days,6,59000
Chirmiri,12th Pass,Sales Executive,Full Time,Large,2 Months,6,38000
Rajnandgaon,MBA,Digital Marketing Executive,Full Time,Large,30 Days,1,149000
Chirmiri,BCA,MIS Executive,Full Time,Small,45 Days,11,77000
Dhamtari,MA,Business Analyst,Full Time,Small,3 Months,9,124000
Bemetra,M.Com,Account Manager,Full Time,Medium,15 Days,3,129000
Dhamtari,M.Com,Business Analyst,Full Time,Large,15 Days,9,150000
Dhamtari,B.Com,Account Manager,Full Time,Large,15 Days,3,78000
Sakti,BCA,Accountant,Contract,Medium,3 Months,2,49000
Ambikapur,BBA,Business Analyst,Full Time,Medium,2 Months,12,150000
Bhilai,B.Com,Sales Executive,Full Time,Small,15 Days,10,69000
Raipur,M.Com,HR Executive,Part Time,Large,2 Months,2,63000
Manendragarh,BBA,MIS Executive,Full Time,Large,2 Months,14,143000
Naila Janjgir,MA,Account Manager,Full Time,Large,30 Days,12,150000
Naila Janjgir,MA,Account Manager,Full Time,Small,3 Months,9,138000
Tilda Newra,MBA,Account Manager,Full Time,Small,30 Days,14,150000
Bilaspur,B.Com,Account Manager,Full Time,Large,2 Months,7,113000
Bhatapara,BCA,Content Writer,Full Time,Medium,2 Months,2,44000
Tilda Newra,BBA,MIS Executive,Contract,Medium,Immediately,5,73000
Korba,BBA,Digital Marketing Executive,Full Time,Small,45 Days,4,66000
Tilda Newra,BA,Account Manager,Full Time,Large,30 Days,12,114000
Sakti,10th Pass,Sales Executive,Full Time,Small,15 Days,1,13000
Bhatapara,Diploma,Accountant,Intern,Large,45 Days,2,18000
Bemetra,BCA,Business Analyst,Contract,Medium,30 Days,11,132000
Mungeli,MA,HR Executive,Full Time,Medium,2 Months,11,129000
Bhilai,12th Pass,Customer Support,Full Time,Small,2 Months,3,18000
Bemetra,Diploma,Content Writer,Full Time,Large,45 Days,2,32000
Raipur,MBA,HR Executive,Full Time,Large,45 Days,10,150000
Chirmiri,M.Com,MIS Executive,Part Time,Large,3 Months,8,113000
Durg,BA,Digital Marketing Executive,Full Time,Medium,45 Days,7,54000
Raipur,10th Pass,Sales Executive,Part Time,Medium,30 Days,0,12000
Manendragarh,Diploma,Computer Operator,Full Time,Medium,45 Days,4,27000
Chirmiri,BBA,Digital Marketing Executive,Full Time,Large,30 Days,7,104000
Jagdalpur,BA,Account Manager,Part Time,Medium,3 Months,12,51000
Bilaspur,B.Com,HR Executive,Full Time,Small,2 Months,11,73000
Durg,MBA,Business Analyst,Full Time,Medium,15 Days,17,150000
Bemetra,BA,HR Executive,Contract,Small,2 Months,4,33000
Raigarh,BBA,MIS Executive,Part Time,Small,45 Days,11,59000
Rajnandgaon,10th Pass,Computer Operator,Intern,Small,2 Months,5,8000
Durg,MA,HR Executive,Full Time,Large,30 Days,1,75000
Bhatapara,BCA,Business Analyst,Full Time,Large,15 Days,3,105000
Ambikapur,M.Com,MIS Executive,Contract,Large,30 Days,2,117000
Naila Janjgir,MA,Sales Executive,Full Time,Large,30 Days,4,92000
Jagdalpur,12th Pass,Customer Support,Full Time,Medium,30 Days,6,27000
Mahasamund,BCA,Content Writer,Full Time,Small,Immediately,1,35000
Raigarh,MA,Digital Marketing Executive,Full Time,Small,2 Months,4,71000
Bhilai,BBA,Digital Marketing Executive,Contract,Small,2 Months,9,80000
Chirmiri,M.Com,MIS Executive,Full Time,Large,3 Months,20,150000
Jagdalpur,BCA,Business Analyst,Full Time,Large,30 Days,4,121000
Rajnandgaon,10th Pass,Sales Executive,Intern,Medium,45 Days,3,8000
Bhilai,10th Pass,Sales Executive,Full Time,Medium,2 Months,3,17000
Rajnandgaon,BCA,MIS Executive,Full Time,Medium,45 Days,5,78000
Korba,BA,Accountant,Part Time,Large,2 Months,2,33000
Korba,M.Com,Account Manager,Full Time,Large,3 Months,7,150000
Dhamtari,M.Com,MIS Executive,Full Time,Medium,45 Days,6,128000
Bhilai,10th Pass,Customer Support,Part Time,Medium,15 Days,2,12000
Chirmiri,BCA,Account Manager,Intern,Large,30 Days,6,50000
Mahasamund,Diploma,Computer Operator,Full Time,Large,2 Months,12,47000
Mahasamund,MA,Account Manager,Full Time,Medium,30 Days,3,93000
Dhamtari,Diploma,Computer Operator,Full Time,Large,2 Months,5,34000
Dalli-Rajhara,B.Com,Business Analyst,Full Time,Small,Immediately,11,102000
Bhilai,12th Pass,Sales Executive,Contract,Small,30 Days,3,22000
Ambikapur,M.Com,Business Analyst,Full Time,Large,2 Months,10,150000
Korba,BBA,HR Executive,Full Time,Small,30 Days,10,66000
Ambikapur,B.Com,Sales Executive,Full Time,Large,3 Months,10,96000
Mungeli,MA,MIS Executive,Full Time,Large,30 Days,10,150000
Ambikapur,12th Pass,Content Writer,Full Time,Small,Immediately,2,20000
Tilda Newra,B.Com,Digital Marketing Executive,Full Time,Medium,30 Days,0,44000
Manendragarh,10th Pass,Customer Support,Full Time,Medium,Immediately,1,12000
Jagdalpur,BA,Content Writer,Part Time,Large,45 Days,1,24000
Raigarh,BCA,Business Analyst,Full Time,Small,15 Days,4,79000
Mahasamund,BCA,Digital Marketing Executive,Full Time,Small,3 Months,10,88000
Raipur,BCA,HR Executive,Full Time,Small,Immediately,7,60000
Mahasamund,MBA,Business Analyst,Part Time,Small,3 Months,17,150000
Ambikapur,12th Pass,Customer Support,Contract,Medium,Immediately,1,15000
Naila Janjgir,MBA,Account Manager,Part Time,Large,15 Days,1,96000
Bilaspur,BCA,HR Executive,Contract,Large,45 Days,11,101000
Raigarh,BBA,Digital Marketing Executive,Full Time,Small,15 Days,0,47000
Bilaspur,MA,HR Executive,Part Time,Large,30 Days,4,57000
Bemetra,12th Pass,Sales Executive,Contract,Medium,3 Months,3,23000
Tilda Newra,Diploma,Customer Support,Full Time,Small,45 Days,7,30000
Chirmiri,MBA,MIS Executive,Full Time,Large,3 Months,10,150000
Sakti,BCA,Digital Marketing Executive,Full Time,Small,30 Days,7,80000
Durg,MA,Account Manager,Full Time,Large,30 Days,18,150000
Rajnandgaon,10th Pass,Sales Executive,Full Time,Small,30 Days,8,22000
Raigarh,12th Pass,Content Writer,Full Time,Large,45 Days,4,29000
Mungeli,BA,Sales Executive,Full Time,Large,30 Days,1,49000
Bilaspur,BBA,Account Manager,Full Time,Large,30 Days,3,100000
Bemetra,MA,Account Manager,Full Time,Large,3 Months,6,144000
Chirmiri,12th Pass,Sales Executive,Full Time,Large,3 Months,5,45000
Bilaspur,10th Pass,Sales Executive,Full Time,Large,30 Days,7,36000
Bhatapara,12th Pass,Accountant,Full Time,Small,30 Days,1,22000
Sakti,M.Com,Business Analyst,Full Time,Medium,2 Months,13,150000
Manendragarh,Diploma,Customer Support,Full Time,Large,30 Days,5,42000
Dalli-Rajhara,B.Com,HR Executive,Full Time,Large,30 Days,10,89000
Naila Janjgir,M.Com,Digital Marketing Executive,Intern,Medium,Immediately,16,69000
Dhamtari,10th Pass,Computer Operator,Full Time,Small,30 Days,2,12000
Sakti,BCA,Sales Executive,Full Time,Large,Immediately,14,129000
Ambikapur,B.Com,Digital Marketing Executive,Full Time,Medium,30 Days,8,87000
Sakti,B.Com,Business Analyst,Full Time,Small,30 Days,8,85000
Dalli-Rajhara,12th Pass,Computer Operator,Contract,Medium,15 Days,8,26000
Bilaspur,MA,MIS Executive,Full Time,Medium,30 Days,19,150000
Bemetra,BBA,Business Analyst,Full Time,Large,30 Days,6,121000
Bilaspur,Diploma,Accountant,Full Time,Large,15 Days,7,63000
Raigarh,Diploma,Accountant,Full Time,Medium,45 Days,10,62000
Dalli-Rajhara,M.Com,Sales Executive,Part Time,Medium,30 Days,2,50000
Bemetra,B.Com,MIS Executive,Full Time,Large,30 Days,5,88000
Jagdalpur,MBA,Business Analyst,Full Time,Small,30 Days,8,150000
Dhamtari,10th Pass,Computer Operator,Full Time,Small,2 Months,4,12000
Manendragarh,B.Com,Digital Marketing Executive,Part Time,Large,30 Days,3,46000
Bilaspur,10th Pass,Sales Executive,Full Time,Medium,30 Days,5,23000
Bhatapara,10th Pass,Computer Operator,Full Time,Large,45 Days,0,13000
Jagdalpur,10th Pass,Customer Support,Full Time,Medium,2 Months,5,17000
Mungeli,MA,Account Manager,Full Time,Medium,45 Days,3,102000
Rajnandgaon,BCA,HR Executive,Full Time,Small,30 Days,6,58000
Bhatapara,M.Com,Sales Executive,Contract,Small,45 Days,1,58000
Bhatapara,BA,Digital Marketing Executive,Intern,Large,30 Days,1,19000
Bemetra,BBA,MIS Executive,Full Time,Medium,15 Days,6,86000
Mungeli,BBA,HR Executive,Full Time,Small,3 Months,9,77000
Manendragarh,MA,Business Analyst,Contract,Large,15 Days,16,150000
Dhamtari,10th Pass,Customer Support,Full Time,Medium,3 Months,8,21000
Rajnandgaon,Diploma,Customer Support,Part Time,Small,2 Months,7,18000
Raipur,BBA,HR Executive,Full Time,Medium,45 Days,3,59000
Bhatapara,MBA,Account Manager,Full Time,Medium,30 Days,12,150000
Raigarh,10th Pass,Computer Operator,Full Time,Small,3 Months,10,19000
Dalli-Rajhara,MBA,Account Manager,Part Time,Medium,2 Months,8,138000
Bhilai,BA,Accountant,Part Time,Medium,45 Days,0,19000
Bhatapara,M.Com,MIS Executive,Part Time,Large,2 Months,1,63000
Rajnandgaon,BCA,Business Analyst,Full Time,Medium,3 Months,9,136000
Mungeli,MBA,Business Analyst,Full Time,Small,45 Days,13,150000
Rajnandgaon,BA,Account Manager,Full Time,Medium,2 Months,7,67000
Bhilai,BCA,Digital Marketing Executive,Full Time,Small,30 Days,2,53000
Rajnandgaon,BA,Sales Executive,Full Time,Medium,Immediately,11,64000
Bilaspur,Diploma,Customer Support,Full Time,Medium,45 Days,2,25000
Raipur,Diploma,Customer Support,Part Time,Large,Immediately,2,19000
Raigarh,10th Pass,Computer Operator,Full Time,Large,30 Days,3,16000
Bemetra,10th Pass,Customer Support,Full Time,Large,2 Months,4,17000
Sakti,B.Com,Digital Marketing Executive,Full Time,Large,45 Days,0,53000
Bemetra,Diploma,Accountant,Part Time,Large,15 Days,4,30000
Chirmiri,10th Pass,Customer Support,Contract,Medium,45 Days,2,12000
Mungeli,MBA,Digital Marketing Executive,Full Time,Medium,2 Months,5,140000
Dhamtari,M.Com,HR Executive,Full Time,Medium,30 Days,17,150000
Tilda Newra,B.Com,Sales Executive,Full Time,Large,45 Days,14,137000
Bhilai,BBA,Account Manager,Full Time,Small,2 Months,8,90000
Mahasamund,MA,Business Analyst,Full Time,Medium,2 Months,17,150000
Dhamtari,BCA,Customer Support,Full Time,Large,30 Days,1,47000
Rajnandgaon,BA,Account Manager,Full Time,Small,30 Days,11,84000
Naila Janjgir,10th Pass,Computer Operator,Contract,Large,30 Days,3,16000
Mahasamund,10th Pass,Sales Executive,Full Time,Large,30 Days,7,33000
Raipur,B.Com,Customer Support,Intern,Medium,45 Days,2,15000
Mahasamund,BA,Customer Support,Full Time,Large,15 Days,1,33000
Mungeli,MBA,Account Manager,Full Time,Medium,30 Days,12,150000
Mungeli,12th Pass,Content Writer,Full Time,Small,45 Days,0,15000
Korba,B.Com,Accountant,Part Time,Small,15 Days,1,22000
Bemetra,10th Pass,Sales Executive,Part Time,Small,45 Days,0,12000
Raigarh,BCA,HR Executive,Full Time,Medium,15 Days,4,65000
Bhilai,12th Pass,Computer Operator,Intern,Small,15 Days,1,8000
Sakti,M.Com,Sales Executive,Full Time,Small,30 Days,3,83000
Bilaspur,10th Pass,Sales Executive,Full Time,Small,Immediately,3,16000
Chirmiri,MA,HR Executive,Full Time,Medium,30 Days,8,111000
Korba,12th Pass,Accountant,Part Time,Small,3 Months,11,23000
Bemetra,MBA,Account Manager,Contract,Medium,30 Days,4,150000
Tilda Newra,B.Com,Sales Executive,Part Time,Small,15 Days,0,21000
Bhatapara,MA,Business Analyst,Part Time,Large,30 Days,9,125000
Jagdalpur,M.Com,MIS Executive,Full Time,Large,30 Days,10,150000
Dalli-Rajhara,BBA,Business Analyst,Part Time,Large,45 Days,11,98000
Sakti,12th Pass,Sales Executive,Full Time,Large,45 Days,9,51000
Bemetra,BA,Digital Marketing Executive,Full Time,Medium,30 Days,1,37000
Korba,Diploma,Sales Executive,Full Time,Large,45 Days,12,77000
Sakti,BBA,MIS Executive,Full Time,Large,3 Months,5,106000
Bemetra,B.Com,Account Manager,Full Time,Large,15 Days,14,138000
Chirmiri,M.Com,HR Executive,Contract,Small,3 Months,14,118000
Bhatapara,BA,Business Analyst,Full Time,Medium,2 Months,6,67000
Korba,BA,Business Analyst,Intern,Medium,2 Months,9,29000
Dalli-Rajhara,10th Pass,Sales Executive,Full Time,Small,45 Days,3,16000
Naila Janjgir,MA,Account Manager,Full Time,Large,3 Months,18,150000
Jagdalpur,BA,HR Executive,Full Time,Large,45 Days,7,64000
Bhilai,10th Pass,Customer Support,Full Time,Large,2 Months,5,20000
Bemetra,BCA,Accountant,Full Time,Small,30 Days,1,47000
Bilaspur,M.Com,HR Executive,Full Time,Medium,Immediately,12,150000
Dhamtari,MA,Digital Marketing Executive,Full Time,Medium,2 Months,13,148000
Rajnandgaon,MA,HR Executive,Full Time,Large,3 Months,8,135000
Durg,BCA,Accountant,Full Time,Medium,45 Days,2,54000
Naila Janjgir,12th Pass,Customer Support,Part Time,Medium,15 Days,4,14000
Korba,M.Com,Business Analyst,Contract,Large,30 Days,12,150000
Rajnandgaon,BA,HR Executive,Full Time,Small,3 Months,7,39000
Tilda Newra,12th Pass,Content Writer,Full Time,Medium,2 Months,3,23000
Dalli-Rajhara,BA,Accountant,Full Time,Small,45 Days,2,33000
Manendragarh,M.Com,HR Executive,Full Time,Large,30 Days,1,94000
Ambikapur,BCA,Account Manager,Full Time,Large,30 Days,4,102000
Rajnandgaon,MA,Digital Marketing Executive,Full Time,Medium,2 Months,14,150000
Chirmiri,12th Pass,Content Writer,Full Time,Small,30 Days,5,22000
Bhilai,10th Pass,Sales Executive,Intern,Large,15 Days,8,13000
Rajnandgaon,MA,Business Analyst,Full Time,Medium,2 Months,11,150000
Mahasamund,BCA,HR Executive,Full Time,Medium,15 Days,12,100000
Rajnandgaon,B.Com,MIS Executive,Full Time,Medium,3 Months,12,86000
Raigarh,MBA,MIS Executive,Full Time,Large,3 Months,9,150000
Naila Janjgir,12th Pass,Computer Operator,Contract,Small,15 Days,5,18000
Sakti,BA,Business Analyst,Full Time,Small,3 Months,5,56000
Tilda Newra,12th Pass,Content Writer,Part Time,Small,45 Days,0,12000
Manendragarh,BA,Customer Support,Full Time,Medium,15 Days,1,29000
Dhamtari,Diploma,Customer Support,Full Time,Large,15 Days,6,43000
Raigarh,MBA,Business Analyst,Full Time,Small,45 Days,11,150000
Naila Janjgir,M.Com,HR Executive,Full Time,Small,15 Days,8,96000
Naila Janjgir,12th Pass,Accountant,Contract,Large,45 Days,5,36000
Raipur,12th Pass,Content Writer,Contract,Medium,30 Days,1,18000
Bhilai,10th Pass,Customer Support,Part Time,Medium,30 Days,0,12000
Jagdalpur,12th Pass,Accountant,Part Time,Small,45 Days,6,20000
Raigarh,BA,Customer Support,Full Time,Small,30 Days,2,23000
Rajnandgaon,BA,Sales Executive,Full Time,Medium,45 Days,5,51000
Tilda Newra,MA,HR Executive,Full Time,Small,15 Days,3,61000
Korba,BCA,HR Executive,Full Time,Small,30 Days,7,60000
Rajnandgaon,Diploma,Accountant,Part Time,Large,2 Months,0,22000
Bhilai,B.Com,Digital Marketing Executive,Intern,Large,45 Days,3,32000
Bilaspur,M.Com,Sales Executive,Full Time,Small,15 Days,4,96000
Chirmiri,MBA,HR Executive,Full Time,Medium,Immediately,1,101000
Rajnandgaon,MBA,MIS Executive,Part Time,Small,15 Days,1,60000
Raigarh,MBA,MIS Executive,Full Time,Large,30 Days,6,150000
Bhatapara,12th Pass,Customer Support,Full Time,Small,30 Days,3,17000
Bhatapara,BBA,Digital Marketing Executive,Full Time,Medium,2 Months,13,135000
Sakti,BBA,Digital Marketing Executive,Full Time,Small,Immediately,0,43000
Rajnandgaon,B.Com,Sales Executive,Intern,Large,2 Months,4,28000
Sakti,BBA,Digital Marketing Executive,Part Time,Medium,30 Days,7,58000
Jagdalpur,BBA,Sales Executive,Contract,Large,3 Months,6,90000
Mungeli,10th Pass,Sales Executive,Full Time,Small,30 Days,3,17000
Manendragarh,12th Pass,Sales Executive,Part Time,Small,15 Days,1,12000
Tilda Newra,BBA,Sales Executive,Full Time,Large,30 Days,1,70000
Bhatapara,10th Pass,Computer Operator,Part Time,Small,30 Days,10,12000
Mungeli,12th Pass,Computer Operator,Full Time,Small,2 Months,5,19000
Bemetra,MA,Business Analyst,Full Time,Medium,15 Days,16,150000
Bemetra,10th Pass,Customer Support,Full Time,Small,15 Days,2,12000
Manendragarh,BBA,Digital Marketing Executive,Full Time,Small,2 Months,5,74000
Chirmiri,BBA,MIS Executive,Full Time,Medium,45 Days,8,84000
Tilda Newra,MBA,Business Analyst,Full Time,Large,3 Months,9,150000
Raigarh,B.Com,Account Manager,Full Time,Medium,30 Days,12,111000
Korba,12th Pass,Sales Executive,Full Time,Medium,15 Days,2,24000
Tilda Newra,BA,Digital Marketing Executive,Full Time,Medium,2 Months,14,73000
Mahasamund,10th Pass,Sales Executive,Full Time,Medium,2 Months,6,24000
Dhamtari,M.Com,MIS Executive,Full Time,Large,2 Months,13,150000
Korba,MBA,Business Analyst,Full Time,Medium,3 Months,5,150000
Rajnandgaon,M.Com,Account Manager,Full Time,Small,3 Months,3,99000
Mahasamund,B.Com,Digital Marketing Executive,Full Time,Medium,15 Days,0,43000
Korba,12th Pass,Content Writer,Contract,Medium,30 Days,11,38000
Dhamtari,M.Com,MIS Executive,Full Time,Large,2 Months,5,150000
Korba,B.Com,Account Manager,Full Time,Large,30 Days,7,111000
Bemetra,MBA,Business Analyst,Full Time,Large,45 Days,6,150000
Durg,BBA,HR Executive,Full Time,Large,45 Days,7,95000
Korba,10th Pass,Customer Support,Contract,Large,30 Days,9,22000
Durg,B.Com,Sales Executive,Full Time,Small,45 Days,7,66000
Dalli-Rajhara,BCA,HR Executive,Part Time,Small,45 Days,6,33000
Bhatapara,M.Com,HR Executive,Full Time,Small,2 Months,14,119000
Raigarh,MBA,Account Manager,Part Time,Small,30 Days,16,150000
Manendragarh,BCA,Business Analyst,Full Time,Large,Immediately,9,131000
Rajnandgaon,MBA,MIS Executive,Contract,Medium,2 Months,5,133000
Chirmiri,MBA,HR Executive,Full Time,Large,45 Days,14,150000
Raipur,12th Pass,Accountant,Full Time,Medium,15 Days,5,34000
Chirmiri,Diploma,Computer Operator,Part Time,Medium,2 Months,0,12000
Bhilai,12th Pass,Customer Support,Part Time,Large,45 Days,6,22000
Manendragarh,BCA,Account Manager,Full Time,Large,15 Days,5,102000
Raigarh,MBA,HR Executive,Full Time,Small,2 Months,3,97000
Bhilai,M.Com,HR Executive,Full Time,Medium,15 Days,15,150000
Naila Janjgir,MBA,Account Manager,Full Time,Large,3 Months,6,150000
Jagdalpur,12th Pass,Customer Support,Full Time,Medium,15 Days,6,25000
Dalli-Rajhara,12th Pass,Content Writer,Full Time,Small,Immediately,6,26000
Durg,MBA,Business Analyst,Full Time,Medium,2 Months,5,150000
